Quarter,Product,Users,Revenue,Marketing_Spend,COGS
2023-Q1,Cloud Storage,120000,850000,120000,300000
2023-Q1,Streaming Service,95000,720000,110000,250000
2023-Q1,AI Tools,40000,510000,90000,120000
2023-Q2,Cloud Storage,135000,920000,130000,310000
2023-Q2,Streaming Service,105000,780000,120000,260000
2023-Q2,AI Tools,52000,630000,95000,140000
2023-Q3,Cloud Storage,150000,980000,140000,320000
2023-Q3,Streaming Service,118000,850000,130000,270000
2023-Q3,AI Tools,67000,760000,100000,160000
2023-Q4,Cloud Storage,170000,1100000,150000,350000
2023-Q4,Streaming Service,130000,910000,140000,280000
2023-Q4,AI Tools,83000,920000,120000,190000
